Can I Use an Easement That Abuts to My Property	 real
New Property Owner Requests Use of Easement	 real
Condo Association Restriction on Tenant Parking	 real
Rights from an Unrecorded Quit Claim Deed	 real
Dispute With Rotten Neighbor	 real
Advice On Easement Rights	 real
Pool Construction Conflicts With Neighbor's Easement	 real
Quit Claim Property Rights	 real
Given Home By Father, But Now In Family Dispute	 real
My Retaining Wall Is 30" Over The Property Line	 real
Neighbor's Son Destroying Driveway with 4 Wheeler	 real
Life Estate Provisions Were Not on the Deed but in the Will	 real
Storage of Material on Easement	 real
Easement Adverse Possession	 real
Walking Trail Easement on Recorded Plat	 real
Order to Sell Property	 real
How to End the Use of a Neighbor's Driveway That Crosses Your Land	 real
Right of Way Use for Construction on Landlocked Property	 real
What is the Cost of Adverse Possession Litigation	 real
Dominant Tenant's Right to Gravel Easement	 real
Hunting Rights on City Property	 real
Liability if a Neighbor Prunes Our Tree Without Permission	 real
Neighbor Chopped Down Hedges on Property Line	 real
Neighbor Disputes Survey but Won't Get One Himself	 real
Eviction for Removing a Co-Op Wall Without Permission	 real
Giving People Access to a Private Road Without Losing Any Rights	 real
Driving a Commercial Vehicle on a Residential Right of Way	 real
Asked to Quiet Title After a Tax Sale	 real
Posting a Road as Private Property to Stop Somebody from Claiming Access	 real
Liability for Neighbor Trespassing	 real
Ownership Rights to a Home After Conveying Land to Remaindermen	 real
Can a Neighbor Install Cameras That Overlook Your Yard	 real
Legal Restrictions on Neighbors Attaching to Your Fence	 real
Neighbor Planted a Row of Trees Across the Property Line	 real
Shared Sewer Line Repair Responsibility	 real
Driveway May Encroach Upon Neighbor's Property	 real
What is an Equitable Easement	 real
Can a City Plow Snow onto a Public Sidewalk and Require a Business to Shovel It Off	 real
Updating Language Of An Easement	 real
Definitions of "Use" and "Enclosure" in California	 real
Quitclaim deed to transfer property as a gift	 real
Adverse possession claim after someone buys the disputed land	 real
Fence Erected In My Yard, in Washington	 real
Conflicting Surveys and Adverse Possession	 real
Driveway Dispute in Pennsylvania	 real
Prescriptive Easement In California	 real
Ohio Rivers and Private Property	 real
Does My Neighbor Have a Right of Way	 real
How to Protect My Neighbor from Adverse Possession	 real
Neighbors Keep Flooding My Entire Driveway	 real
Neighbor Claims Easement is Invalid from Non-Use in Washington	 real
Being Sued for a Life Estate	 real
Fence is Before the Property Line	 real
Moving a Right-of-Way	 real
Pulling Building Permits	 real
Is the Neighbors Retaining Wall an Encroachment	 real
What's a Reasonable Value for Granting a Utility Easement	 real
Right of Way Over Farmland with Grazing Cows	 real
Temporary Easements	 real
Allegation of Forgery by Seller on a Warranty Deed	 real
Neighbor's Treehouse on Our Property	 real
Neighbor Took Down My Fence and a 50 Year Old Tree	 real
Neighboring Property is Used as a Dump	 real
Use of Lake Access Easements	 real
Is HOA Board Required to Give Me Minutes of Their Meetings on Request	 real
New Owner of Servient Tenement is Disputing My Easement Through His Property	 real
Defenses to Adverse Possession Claims	 real
Neighbor Wants Me to Consent to a New Boundary Line and Deed Over Property	 real
Sued After an Unintended Encroachment of a Neighbor's Land	 real
Neighbor Uses a Drain Pipe that Runs Across My Property	 real
Neighbor Won't Remove a Dangeorus Tree	 real
Cutting Down a Large Tree that is On the Property Line	 real
Neighbor's Use of Our Personal Road	 real
HOA Denied My Request to Build a Fence	 real
Can You Be Required to Pay for Removal of an Encroaching Fence	 real
Drainage Board Won't Clean Out Ditches	 real
Property Description Does Not Match Landowner's Understanding of the Boundaries	 real
Is a Condo Association Responsible for the Cost of Improving Insulation	 real
How to Set Aside a Quitclaim Deed and Recover the Property	 real
Neighbor Wants Compensation for a Property Line Fence After Agreeing to Pay the Cost	 real
Can People Park Vehicles on a Right of Way in Front of My Property	 real
Deed Contradicts Tax Records	 real
How to Stop a Neighbor from Burning Material in Their Fireplace	 real
Sale of Home With Life Estate to Fund Further Care of Mother	 real
Michigan Easement And Right of Way Law	 real
Blocked From Use of an Easement	 real
Easement Rights in Washington State	 real
Adverse Possession of Public Land	 real
Removing Life Estate Status and Storage of Property	 real
Neighbors Property On My Land	 real
Neighbor's Sewer Lines On My Property	 real
I Have An Implied Easement, Yet My Neighbor Refuses Access	 real
Can Easements Be Moved By The Holder	 real
What Are My Rights As Owner of an Easement	 real
Video Surveillance	 real
Quit Claim That Happened 5 Yrs Ago	 real
Driveway Easement Will Destroy Housing Structure	 real
Told Pets Were Allowed in Condo	 real
Lot Line Adjustment Was Not Recorded	 real
No HOA Board - One Resident is Demanding Payment of Dues	 real
HOA is Refusing to Repair Fence Built in Easement, in Texas	 real
When can a Utility Place Poles Without an Easement	 real
Dog Defecation on My Side of a Shared Right of Way	 real
Fence Built by Non-Property Owner Without My Permission Over My Property Line	 real
Laws Governing Vacated Streets	 real
Partially Removed a Fence that Neighbor Claims is His - Must We Repair It	 real
Water Utility Wants an Easement for a Pumping Station	 real
Speed Limits and Gates on a Right of Way	 real
Right to Encroach on a Utility Easement	 real
Encroachment by Neighbor's Driveway	 real
Removal of Driveway at Our Expense	 real
Neighbor Put Rocks and Landscaping on Half of Our Right-of-Way	 real
Neighbor Wants to Own Completely New Fence Along Shared Boundary, We Want to Share	 real
How to Fire a HOA Board Member for Moral Turpitude	 real
Who Owns an Abandoned Township Road	 real
Can I Install a Driveway Gate Within a Utility Easement	 real
Adverse Possession of an Abandoned Home in California	 real
Splitting a Parcel	 real
Does a Survivorship Clause Override Spousal Rights	 real
Lot Line Change	 real
How to Determine Who Owns Land	 real
How is the Location of an Easement Determined	 real
Vehicle Repair Business Disrupting a Residential Neighborhood	 real
Neighbor with Pool Doesn't Want to Share Cost for Fence Repair	 real
Jehovah's Witnesses Visiting Workplace	 real
Does a Tenant Have Legal Standing to Litigate Right of Way Access	 real
How to Determine Who Owns a Road	 real
How to Formalize Driveway Access Across My Neighbor's Land	 real
Definition of Letting Property Go to "Waste"	 real
Plowing Snow Into the Street or Onto Someone Else's Property	 real
Neighbor's Survey Shows Different Boundaries Than My Deed	 real
Can you Sell a Life Estate to a Remainderman	 real
Neighbours' Aviary is Affecting My Mental Health	 real
Order to Fill in a Drainage Pond	 real
Enforcing an Agreement for a Shared Well After a Property is Sold	 real
New Neighbors Want Our Fence Moved from Placement Agreed With Prior Owners	 real
Cesspool Placed on Somebody Else's Land	 real
What to Do if You Find an Error on a Deed	 real
Encroachment by a Neighboring Home	 real
Location of a Gate on a Shared Right-of-Way	 real
County Keeps Changing Zoning Ordinance	 real
Neighbor is Claiming an Easement Based on the Subdivision Plat	 real
What to Do if Your Neighbor Has Placed Plants and a Fence on Your Property	 real
Mowing the Lawn on My Neighbor's Side of My Fence	 real
When Can Land be Acquired by Adverse Possession in Oklahoma	 real
Can You Use a Portion of a Shared Private Road Past the End of Your Property	 real
How to Stop Abuse of an Easement	 real
Who Has to Pay for Removal of a Tree That Has Grown Across the Property Line	 real
Recovering Compensation for Damage to a Structure Built on a Right of Way	 real
Neighbor Knowingly Built a Fence on My Property	 real
When Can You Reroute a Right of Way	 real
New House Purchase With A Potential Boundary Dispute	 real
Life Rights in New York	 real
Four-Wheelers On Ingress-Egress Easement	 real
Land vs. Neighbor's Sewer Pipe	 real
Right of Way Thru My Property, Not Landlocked	 real
Whose Fence is It	 real
Sidewalk Right of Way and Property Line	 real
Utility Pole Inside Easement Blocking My Driveway Access	 real
Neighbor is Trespassing on Our Beach	 real
Power Lines Run Through Backyard Without Notification or Permission	 real
No Easement in Place, Two Utility Poles on Property	 real
Can I Get Legal Access to Closed Forest Service Roads	 real
How to Enforce an Oral Promise to Give Me a Share of a House	 real
Neighbors Installed Blacktop on My Property	 real
Buying a Remainder Interest When the Life Tenant Receives Medicaid	 real
Purchase of a Foreclosed Home With a Large Shed Partially on the Neighbor's Property	 real
Seller Back-Out at Last Minute Due to Inability to Provide Clear Title	 real
Vague Language in the Grant of an Easement	 real
Can a Landowner Permit People to Access a Private Right-of-Way Over His Land	 real
Who Pays for Repair of a Steam Pipe Leak Between Two Floors of a Co-Op	 real
Neighbor Removed Our Fence Claiming It Was on Their Property	 real
Do You Own Soil Removed from Your Land Pursuant to a Pipeline Easement	 real
Right to Use a Bridge Outside the Boundaries of the Granted Right of Way	 real
Buying Land with Possible Easement Needs	 real
Dispute Over Ownership of a Driveway and Use of an Easement	 real
Questioning the Validity of a Neighbor's Easement	 real
Establishing a Right to Access Landlocked Parcels	 real
Use of an Easement by a Property Owner Who Does Not Contribute to Maintenance Costs	 real
Can a Life Tenant Also Be a Remainderman	 real
Water Meter is Shared by Two Houses	 real
Rights to Maintain a Water Line and Pump from a Neighboring Property	 real
Locked Out of a Right-of-Way	 real
Responsibilty for Repairing a Shared Boundary Fence	 real
Does a Former Landowner Still Have Right to Use an Easement	 real
Can a Property Owner Sell the Property You Live On to Somebody Else	 real
Neighboring School Cut Down Trees Between Our Properties	 real
Conveying Property by a Gift Deed vs. a Quitclaim Deed	 real
Buying Property That is Subject to a Deeded Right of Way	 real
Claiming Adverse Possession of Rural Land in California	 real
Can You Claim Adverse Possession of the Land Your House is Built Upon	 real
How to Get Somebody to Transfer an Interest in Your Home Back To You	 real
Removal of Officers on Board	 real
Property Line Encroachment	 real
Encroachment Occurred 15 Years Before I Bought	 real
Disrupting the Natural Flow of Water / Drainage Law	 real
North Carolina Easement Case	 real
Lateral Lines from Septic System Encroach on the Neighboring Property	 real
Street Sign Installed for an Easement Road	 real
Claiming Land in Texas	 real
Tree Pruning or Removal in a Public Utility Easement	 real
Road Has Slid Over the Property Line	 real
Heirs Deeded Property I Had Rights to	 real
Impeded Easement in Montana	 real
Home Mistakenly Built on Our Land - How Do We Proceed	 real
Property Owner Has Blocked a Community Short-Cut	 real
New Owner Faces Property Line Dispute Unresolved by Previous Owners	 real
Selling a Property That is Not Yet Owned by the Seller	 real
Property Boundary Dispute With Established Fence Line	 real
Grinder Pump Location	 real
Life Estate With a Assignment Clause	 real
Large Tree Hanging Over Property Line Onto Our Property	 real
Part of Bank Owned Manufactured Home is on and Over Onto My Property	 real
Forcing Somebody to Grant an Easement to Landlocked Property	 real
Fence/Boundary Dispute, Overlapping Deeds	 real
Medicaid Liens After Purchase of Property with a Retained Life Estate	 real
Wooded Buffers	 real
Neighbor Disputes Our Easement	 real
Can a Township Pass Ordinances Denying You Rights to Your Property	 real
Neighbor's Fence Footings Encroach On My Property	 real
Mom Put My Name on Deed Without My Knowledge, She Died, I Don't Want It or to Pay	 real
Neighbor Planted Trees on My Property	 real
COA Repaired Water Leak in Rented Unit Without Notifying the Owner, Sent Large Bill	 real
Neighbor Claims Our Right-of-Way is for Walking Only	 real
Is it Legal to Sell Landlocked Property	 real
Does It Make Financial Sense to Add a Name on the Title That is Not on the Mortgage	 real
Septic Tank Encroachment	 real
Getting Rights to an Easement Through USFS Land That Predates the Weeks Act	 real
Neighbor Says He Owns Half of My Driveway	 real
How to Convert a Special Warranty Deed Into a General Warranty Deed	 real
Lot Line Setback Non-Compliance Was Not Disclosed	 real
How to Sell Land Owned by Multiple Owners	 real
Property line dispute over one to two inches of land	 real
File quitclaim and pay 7 years taxes - who owns the property	 real
Life Estate Issues	 real
Dispute Between Mother and Son Over A House	 real
Right of Way Easement	 real
Water Damage	 real
Sewer Line Found On Lot	 real
Neighbor Is Interfering With Fence Construction	 real
Granting An Easement For Utilities	 real
Damages For Tresspass	 real
Gates To Be Placed Across Existing Easement	 real
Sewer Easment Rights And Extortion	 real
Boundary Dispute Over A Retaining Wall	 real
Different Esthetics	 real
Old Unused PG&E Easement	 real
Power Line Over Private Property	 real
Doctrine of Impossibility in Michigan	 real
Grandfather Rights	 real
Exclusive Easement vs. Private Access Easement	 real
Adverse Possession Claim Over a Septic Field	 real
Quit Claim of Parent's Land	 real
Vote by Abstention	 real
Joint Tenants	 real
Legal Rights to Tear Down Fence I Built on Neighbor's Property	 real
Limiting Use of a Private Road in Louisiana	 real
Access Abandonment	 real
Adverse Possession in Georgia	 real
Neighbors Want to Use My Driveway	 real
Utility Company is Accessing Neighbor's Meter from My Property	 real
Unmaintained Property and Crime	 real
Can I Legally Force Neighbor to Foot 1/2 Fence Replacement Bill	 real
Is Water on My Property Considered by Law to Be Natural or Man Made	 real
"Life Estate" Granted in a Will	 real
My Neighbor is Illegally Taking My Property	 real
Carbon Dioxide Pipeline Easement	 real
Who Owns the Lot	 real
Can You Change the Width of the Original Easement	 real
Do You Have to Pay Back Taxes on Land Taken by Adverse Possession	 real
New Homes Built Next to Mine Created a Drainage Nightmare for Me	 real
Barbed Wire Fence Attached to Our Trees, Several Feet Over Property Line	 real
New Neighbor Cuts Gate into Existing Fence to Gain Access to Utility Easment	 real
Is It Possible to Restrict an Existing Easement Due to Abuse of It	 real
House Being Built Next Door Has Windows Overlooking Bathroom Skylight	 real
Appraiser Missed Zoning Problem	 real
Refused Permission to Build on an Easement	 real
Storm Water Easement Under House	 real
Getting Title to a Strip of Land Used for My Driveway	 real
Easements for Ingress and Egress in the State of Washington	 real
Use of Road and Diverting Water	 real
Neighbor's Trees Destroying Fence on Property Line	 real
Erosion Due to Runoff from an Adjacent Lot	 real
HOA Negligence Caused Major Damage	 real
Neighbor's Bed Encroaches Across Property Line	 real
Property Line and Tree Removal	 real
What are the Requirements for Recording a Deed	 real
Difficulty Complying With Snow Removal Ordinance	 real
Does Dominant Estate Have Maintenance Rights to Right of Way	 real
Flooding Due to Lack of Storm Drains	 real
Retaining Wall is Failing, and it Encroaches on a State Road Right of Way	 real
Does Local Zoning Apply to a Tenant on Federal Land	 real
Can  a HOA Allocate Payment for Dues to Unpaid Fines	 real
Can My Neighbor Recover His Ball From My Yard	 real
Home Equity Loans on Life Estates	 real
Unrepaired Bridge Leaves Parcels Landlocked	 real
Rain Garden Regulations for Rural Conservation Zoning	 real
